"patent_id";"serial_number";"event_type";"event_date";"event_code";"event_description"
US10000175B2;"1";Assignment;"2018/4/11";AS;"Owner name: DEUTSCHE BANK TRUST COMPANY AMERICAS, NEW YORK Free format text: INTELLECTUAL PROPERTY SECURITY AGREEMENT SUPPLEMENT;ASSIGNOR:KEY SAFETY SYSTEMS, INC.;REEL/FRAME:045927/0330 Effective date: 20180410"
US10000175B2;"2";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000175B2;"3";Assignment;"2021/10/12";AS;"Owner name: DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECURITY AGENT FOR THE SECURED PARTIES, NEW YORK Free format text: SECURITY INTEREST;ASSIGNOR:KEY SAFETY SYSTEMS, INC.;REEL/FRAME:057828/0461 Effective date: 20211004 Owner name: KEY SAFETY SYSTEMS, INC., MICHIGAN Free format text: RELEASE BY SECURED PARTY;ASSIGNOR:DEUTSCHE BANK TRUST COMPANY AMERICAS, AS SECURITY AGENT FOR THE SECURED PARTIES;REEL/FRAME:057775/0771 Effective date: 20211004"
US10000175B2;"4";Maintenance fee payment;"2021/11/11";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000178B2;"0";Assignment;"2015/7/23";AS;"Owner name: TOYOTA JIDOSHA KABUSHIKI KAISHA, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:FUKAWATASE, OSAMU;NAKASHIMA, ATSUSHI;REEL/FRAME:036164/0836 Effective date: 20150615"
US10000178B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000178B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000181B2;"0";Assignment;"2016/12/1";AS;"Owner name: HYUNDAI MOTOR COMPANY, KOREA, REPUBLIC OF Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:KIM, EUNGJOO;REEL/FRAME:040794/0683 Effective date: 20161125"
US10000181B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000181B2;"2";Maintenance fee payment;"2021/11/22";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000182B2;"0";Assignment;"2017/2/13";AS;"Owner name: KABUSHIKI KAISHA TOKAI-RIKA-DENKI-SEISAKUSHO, JAPA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:HAYASHI, KOJI;MATSUZAKI, MAKOTO;SIGNING DATES FROM 20170118 TO 20170119;REEL/FRAME:041241/0432"
US10000182B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000182B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000184B2;"0";Assignment;"2016/5/23";AS;"Owner name: KABUSHIKI KAISHA TOKAI-RIKA-DENKI-SEISAKUSHO, JAPA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:NAGATA, YUYA;OSAKI, TAKAHIRO;SAITO, TAKUHIRO;AND OTHERS;SIGNING DATES FROM 20160516 TO 20160518;REEL/FRAME:038688/0771"
US10000184B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000184B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000187B2;"0";Assignment;"2016/12/21";AS;"Owner name: AUTONETWORKS TECHNOLOGIES, LTD., JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:HAMADA, YOSHIHIRO;KURATA, HIROYUKI;SIGNING DATES FROM 20161121 TO 20161129;REEL/FRAME:041116/0050 Owner name: SUMITOMO ELECTRIC INDUSTRIES, LTD., JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:HAMADA, YOSHIHIRO;KURATA, HIROYUKI;SIGNING DATES FROM 20161121 TO 20161129;REEL/FRAME:041116/0050 Owner name: SUMITOMO WIRING SYSTEMS, LTD., JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:HAMADA, YOSHIHIRO;KURATA, HIROYUKI;SIGNING DATES FROM 20161121 TO 20161129;REEL/FRAME:041116/0050"
US10000187B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000232B2;"0";Assignment;"2016/5/18";AS;"Owner name: JTEKT CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:OYA, TOSHIAKI;REEL/FRAME:038636/0834 Effective date: 20160422"
US10000232B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000232B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000261B2;"0";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000261B2;"1";Assignment;"2019/7/29";AS;"Owner name: ULTRA SKIFF, INC., FLORIDA Free format text: NUNC PRO TUNC ASSIGNMENT;ASSIGNOR:LIZZIO, JEFFREY D.;REEL/FRAME:049888/0815 Effective date: 20190724"
US10000261B2;"2";Assignment;"2019/7/31";AS;"Owner name: ULTRA SKIFF, INC., FLORIDA Free format text: CORRECTIVE ASSIGNMENT TO CORRECT THE PATENT NUMBER PREVIOUSLY RECORDED AT REEL: 049888 FRAME: 0815. ASSIGNOR(S) HEREBY CONFIRMS THE NUNC PRO TUNC ASSIGNMENT;ASSIGNOR:LIZZIO, JEFFREY D.;REEL/FRAME:049917/0143 Effective date: 20190724 Owner name: ULTRASKIFF, LTD, TEXAS Free format text: CORRECTIVE ASSIGNMENT TO CORRECT THE INCORRECT IDENTIFICATION OF US PATENT NUMBER PREVIOUSLY RECORDED AT REEL: 049894 FRAME: 0874. ASSIGNOR(S) HEREBY CONFIRMS THE ASSIGNMENT;ASSIGNOR:ULTRA SKIFF, INC.;REEL/FRAME:049917/0198 Effective date: 20180920 Owner name: ULTRASKIFF, LLC, TEXAS Free format text: CORRECTIVE ASSIGNMENT TO CORRECT THE CORRECT THE PROPERTY NUMBER PREVIOUSLY RECORDED AT REEL: 049894 FRAME: 0972. ASSIGNOR(S) HEREBY CONFIRMS THE ASSIGNMENT;ASSIGNOR:ULTRASKIFF, LTD;REEL/FRAME:049917/0427 Effective date: 20181108"
US10000261B2;"3";Maintenance fee payment;"2021/8/25";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, MICRO ENTITY (ORIGINAL EVENT CODE: M3551); ENTITY STATUS OF PATENT OWNER: MICROENTITY Year of fee payment: 4"
US10000262B2;"0";Assignment;"2016/3/28";AS;"Owner name: NIPPON YUSEN KABUSHIKI KAISHA, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:ANDO, HIDEYUKI;UENO, SHUSAKU;SIGNING DATES FROM 20160215 TO 20160224;REEL/FRAME:038268/0853"
US10000262B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000262B2;"2";Maintenance fee payment;"2021/9/23";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000280B2;"0";Assignment;"2016/1/13";AS;"Owner name: BERINGER AERO, FRANCE Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:BERINGER, REMI;REEL/FRAME:037482/0213 Effective date: 20151223"
US10000280B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000280B2;"2";Maintenance fee payment;"2021/12/10";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YR, SMALL ENTITY (ORIGINAL EVENT CODE: M2551); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY Year of fee payment: 4"
US10000288B2;"0";Assignment;"2016/6/21";AS;"Owner name: B/E AEROSPACE, INC., FLORIDA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:UDRISTE, DANIEL;DE LA GARZA, JAVIER VALDES;BUNEA, CATALIN;REEL/FRAME:038966/0113 Effective date: 20160606"
US10000288B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000288B2;"2";Maintenance fee payment;"2021/11/18";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000350B2;"0";Assignment;"2015/4/8";AS;"Owner name: BROTHER KOGYO KABUSHIKI KAISHA, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:HIRATA, KENICHI;REEL/FRAME:035362/0894 Effective date: 20150206"
US10000350B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000350B2;"2";Certificate of correction;"2018/10/2";CC;""
US10000350B2;"3";Maintenance fee payment;"2021/11/11";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000354B2;"0";Assignment;"2017/7/14";AS;"Owner name: BROTHER KOGYO KABUSHIKI KAISHA, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:ZOU, PENG;SAMOTO, KENJI;WASHINO, YOSHIYUKI;SIGNING DATES FROM 20170612 TO 20170626;REEL/FRAME:043005/0743"
US10000354B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000354B2;"2";Maintenance fee payment;"2021/11/11";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000359B2;"0";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000365B2;"0";Assignment;"2015/10/22";AS;"Owner name: KITE GEN RESEARCH S.R.L., ITALY Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:IPPOLITO, MASSIMO;REEL/FRAME:036855/0389 Effective date: 20151021"
US10000365B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000397B2;"0";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000397B2;"1";Assignment;"2019/11/13";AS;"Owner name: NEXOM, CANADA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:HILDEBRAND, MARTIN;KROEKER, MERLE;REEL/FRAME:050993/0829 Effective date: 20190927"
US10000397B2;"2";Assignment;"2021/7/29";AS;"Owner name: WELLS FARGO BANK, NATIONAL ASSOCIATION, MASSACHUSETTS Free format text: SECURITY INTEREST;ASSIGNORS:ENVIRONMENTAL DYNAMICS INTERNATIONAL, INC.;ENVIRONMENTAL OPERATING SOLUTIONS, INC.;NEXOM INC.;AND OTHERS;REEL/FRAME:057650/0169 Effective date: 20210709"
US10000397B2;"3";Maintenance fee payment;"2021/10/4";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YR, SMALL ENTITY (ORIGINAL EVENT CODE: M2551); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY Year of fee payment: 4"
US10000432B2;"0";Assignment;"2018/4/23";AS;"Owner name: PURDUE RESEARCH FOUNDATION, INDIANA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:NEGISHI, EI-ICHI;REEL/FRAME:045610/0206 Effective date: 20150206"
US10000432B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000432B2;"2";Maintenance fee payment;"2021/12/6";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YR, SMALL ENTITY (ORIGINAL EVENT CODE: M2551); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY Year of fee payment: 4"
US10000443B2;"0";Assignment;"2018/3/25";AS;"Owner name: OHIO UNIVERSITY, OHIO Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:CHEN, XIAOZHUO;BERGMEIER, STEPHEN;REEL/FRAME:045344/0702 Effective date: 20110823"
US10000443B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000451B2;"0";Assignment;"2017/7/15";AS;"Owner name: SRI INTERNATIONAL, CALIFORNIA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:JONG, LING;CHANG, CHIH-TSUNG;PARK, JAEHYEON;REEL/FRAME:043014/0157 Effective date: 20170707"
US10000451B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000458B2;"0";Assignment;"2017/3/29";AS;"Owner name: SUMITOMO CHEMICAL COMPANY, LIMITED, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:YOSHIOKA, MAYU;ABE, TAICHI;REEL/FRAME:041772/0914 Effective date: 20170309"
US10000458B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000458B2;"2";Maintenance fee payment;"2021/11/17";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000463B2;"0";Assignment;"2015/9/11";AS;"Owner name: UBE INDUSTRIES, LTD., JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:IWASE, NORIAKI;NISHIDA, HIROSHI;OKUDO, MAKOTO;AND OTHERS;REEL/FRAME:036547/0052 Effective date: 20150626"
US10000463B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000463B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000531B2;"0";Assignment;"2016/12/5";AS;"Owner name: UNIVERSITY OF SOUTH FLORIDA, FLORIDA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:CAI, JIANFENG;REEL/FRAME:040519/0066 Effective date: 20161108"
US10000531B2;"1";Assignment;"2018/5/18";AS;"Owner name: H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUT Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:SEBTI, SAID M.;REEL/FRAME:045842/0352 Effective date: 20180515"
US10000531B2;"2";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000536B2;"0";Assignment;"2014/5/20";AS;"Owner name: TECHNISCHE UNIVERSITAET DRESDEN, GERMANY Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:OSTERMANN, KAI;GRUNER, LEOPOLD;ROEDEL, GERHARD;SIGNING DATES FROM 20140514 TO 20140516;REEL/FRAME:032928/0603"
US10000536B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000536B2;"2";Maintenance fee payment;"2021/12/8";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YR, SMALL ENTITY (ORIGINAL EVENT CODE: M2551); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY Year of fee payment: 4"
US10000538B2;"0";Assignment;"2014/4/30";AS;"Owner name: LABORATORIOS LETI, S.I., SPAIN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:BEDATE, CARLOS ALONSO;ALVAREZ, MANUEL SOTO;GARCIA, LAURA RAMIREZ;AND OTHERS;REEL/FRAME:032793/0887 Effective date: 20140422"
US10000538B2;"1";Assignment;"2014/5/5";AS;"Owner name: LABORATORIOS LETI, S.L., SPAIN Free format text: CORRECTIVE ASSIGNMENT TO CORRECT THE ASSIGNEE NAME AND INVENTOR NAME PREVIOUSLY RECORDED ON REEL 032793 FRAME 0887. ASSIGNOR(S) HEREBY CONFIRMS THE CORRECT LABORATORIOS LETI, S.I. TO LABORATORIOS LETI, S.L. AND JERONIMO CARNEZ-SANCHEZ TO JERONIMO CARNES-SANCHEZ;ASSIGNORS:BEDATE, CARLOS ALONSO;ALVAREZ, MANUEL SOTO;GARCIA, LAURA RAMIREZ;AND OTHERS;REEL/FRAME:032825/0259 Effective date: 20140422"
US10000538B2;"2";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000538B2;"3";Maintenance fee payment;"2021/11/30";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000548B2;"0";Assignment;"2018/2/13";AS;"Owner name: CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:RABINOVICH, GABRIEL ADRIAN;DI LELLA, SANTIAGO;ESTRIN, DARIO ARIEL;AND OTHERS;SIGNING DATES FROM 20171113 TO 20171114;REEL/FRAME:044909/0738 Owner name: INIS BIOTECH LLC, DELAWARE Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:RABINOVICH, GABRIEL ADRIAN;DI LELLA, SANTIAGO;ESTRIN, DARIO ARIEL;AND OTHERS;SIGNING DATES FROM 20171113 TO 20171114;REEL/FRAME:044909/0738 Owner name: FUNDACION SALES, ARGENTINA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:RABINOVICH, GABRIEL ADRIAN;DI LELLA, SANTIAGO;ESTRIN, DARIO ARIEL;AND OTHERS;SIGNING DATES FROM 20171113 TO 20171114;REEL/FRAME:044909/0738"
US10000548B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000552B2;"0";Assignment;"2017/5/11";AS;"Owner name: CHENGDU HUACHUANG BIOTECHNOLOGY CO., LTD, CHINA Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:CHEN, SHOUCHUN;YAN, JUAN;XU, QI;AND OTHERS;REEL/FRAME:042332/0907 Effective date: 20170505"
US10000552B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000650B2;"0";Assignment;"2016/4/25";AS;"Owner name: SEIKO EPSON CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:YAMAZAKI, SOICHI;REEL/FRAME:038368/0929 Effective date: 20160415"
US10000650B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000650B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000735B2;"0";Assignment;"2016/5/4";AS;"Owner name: BBHC CO., LTD., KOREA, REPUBLIC OF Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:LEE, SANG YEON;JUNG, WON JU;KIM, HO BIN;AND OTHERS;REEL/FRAME:038601/0570 Effective date: 20160427"
US10000735B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000735B2;"2";Maintenance fee payment;"2021/11/19";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YR, SMALL ENTITY (ORIGINAL EVENT CODE: M2551); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY Year of fee payment: 4"
US10000739B2;"0";Assignment;"2013/5/15";AS;"Owner name: NATIONAL UNIVERSITY CORPORATION KUMAMOTO UNIVERSIT Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:KUME, SHOEN;ENDO, FUMIO;SHIRAKI, NOBUAKI;AND OTHERS;SIGNING DATES FROM 20130420 TO 20130423;REEL/FRAME:030426/0207"
US10000739B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000739B2;"2";Assignment;"2021/8/2";AS;"Owner name: TOKYO INSTITUTE OF TECHNOLOGY, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:NATIONAL UNIVERSITY CORPORATION KUMAMOTO UNIVERSITY;REEL/FRAME:057050/0859 Effective date: 20210630"
US10000739B2;"3";Maintenance fee payment;"2021/12/8";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000747B2;"0";Assignment;"2018/5/6";AS;"Owner name: ACADENIA SINICA, TAIWAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:WONG, CHI-HUEY;WU, CHUNG-YI;CHENG, TING;REEL/FRAME:046082/0741 Effective date: 20170215 Owner name: CHO PHARMA INC., TAIWAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:LIN, NAN-HORNG;HUANG, LIN-YA;SHIVATARE, SACHIN S;AND OTHERS;SIGNING DATES FROM 20170217 TO 20170221;REEL/FRAME:046082/0744"
US10000747B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000756B2;"0";Assignment;"2017/2/6";AS;"Owner name: PRESIDENT AND FELLOWS OF HARVARD COLLEGE, MASSACHU Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:NAM, YUNSUN;SLIZ, PIOTR;SIGNING DATES FROM 20131002 TO 20131028;REEL/FRAME:041183/0248"
