"patent_id";"patent_name";"publication_number";"publication_date";"application_number";"application_date";"grant_number";"grant_date";"priority_date";"inventors";"patent_holder";"classification";"brief_description";"claims_count";"cited_patents_count";"cited_by_count";"legal_status"
US1000012A;"""Steam""";US1000012A;"";"""US59798410A""";"1910/12/19";US1000012A;"1911/8/8";"1910/12/19";"""Arnet T Jolma""";"""Arnet T Jolma""";G10K5/00||;"";"";"0";"1";US - Expired - Lifetime
US1000014A;"""Flexible stay bolt.""";US1000014A;"";"""US59879310A""";"1910/12/22";US1000014A;"1911/8/8";"1910/12/22";"""James W Keeley""";"""FLANNERY BOLT CO""";F22B7/16||F16B5/0241||Y10T403/38||;"";"";"0";"0";US - Expired - Lifetime
US10000150B2;"""Lighting circuit and vehicle lamp""";US20180056853A1;"2018/3/1";"""US15/686,520""";"2017/8/25";US10000150B2;"2018/6/19";"2016/8/25";"""Takao Muramatsu,Satoshi Kikuchi""";"""Koito Manufacturing Co Ltd""";H05B45/00||B60Q1/1415||H05B45/38||B60Q1/1423||H05B45/375||H05B45/48||H05B45/60||B60Q2300/42||B60Q2300/45||;"""A lighting circuit drives a light source including plural light emitting elements and includes a bypass switch circuit which includes plural bypass switches connected in parallel with the plural light emitting elements, a boost converter which boosts a power supply voltage to generate a direct current voltage stabilized at a variable target voltage, a buck converter which receives the direct current voltage to supply a driving current stabilized at a target current to the light source and which includes a hysteresis controller configured to stabilize the driving current between a peak value and a bottom value and to change a difference between the peak value and the bottom value such a switching frequency of the buck converter approaches a constant value, and a voltage adjusting circuit which is configured to dynamically change the target voltage of the boost converter according to an output voltage of the buck converter.""";"12";"10";"9";JP - Active, US - Active Active Pending Active, FR - Active Active Pending Active, DE - Active Active Pending Active, CN - Active Active Pending Active
US1000015A;"""Wrench.""";US1000015A;"";"""US60053011A""";"1911/1/3";US1000015A;"1911/8/8";"1911/1/3";"""Charles H Kenney""";"""THOMAS F FORAN""";B25B13/16||Y10S81/03||;"";"";"0";"0";US - Expired - Lifetime
US1000016A;"""Woven fabric.""";US1000016A;"";"""US57297610A""";"1910/7/21";US1000016A;"1911/8/8";"1910/7/21";"""James E Kerr""";"""James E Kerr""";D03D11/00||;"";"";"0";"0";US - Expired - Lifetime
US10000175B2;"""Driver airbag cover with emblem""";US20170113644A1;"2017/4/27";"""US15/315,397""";"2015/6/4";"";"2018/6/19";"2014/6/5";"""Jeffery Coon""";"""Joyson Safety Systems Inc""";B60R21/2165||B60R2021/21506||B60R2021/21543||;"""A side airbag cover (20) having a top surface (22) upon which can be positioned a decorative emblem (30), the top surface (20) and emblem (30) are configured to break when subjected to a determinable force pressuring on an undersurface (25) of the cover (20), the undersurface (25) including a tear seam (40) which breaks when subjected to a determinable pressure or load, the emblem (30) having its own tear seam (50), wherein the emblem tear seam (50) is displaced laterally relative to an adjacent portion of the tear seam (40).""";"20";"13";"6";US - Active Application Filing, WO - Active Application Filing
US10000178B2;"""Vehicle curtain airbag device""";US20160039384A1;"2016/2/11";"""US14/807,121""";"2015/7/23";US10000178B2;"2018/6/19";"2014/8/8";"""Osamu Fukawatase,Atsushi Nakashima""";"""Toyota Motor Corp""";B60R21/232||B60R21/23138||B60R21/233||B60R21/2346||B60R2021/23316||B60R21/16||;"""A vehicle curtain airbag device that includes: front and rear main chambers that receive gas supplied from an inflator, and that inflate and deploy between respective positions of heads of a front seat occupant and a rear seat occupant, and a side section of a vehicle body; and a delay chamber that is provided spanning between the front and rear main chambers, and that is only supplied with gas through a gas supply opening formed at a boundary between the delay chamber and the main chamber on a front side.""";"15";"19";"6";JP - Active, US - Active Pending, DE - Active Pending
US1000017A;"""Protector for the beads of boiler""";US1000017A;"";"""US62457011A""";"1911/5/2";US1000017A;"1911/8/8";"1911/5/2";"""Richard S Kitchen""";"""Richard S Kitchen""";F16L41/001||;"";"";"0";"2";US - Expired - Lifetime
US10000181B2;"""Pretensioner and safety belt assembly including the same""";US20180105134A1;"2018/4/19";"""US15/366,439""";"2016/12/1";US10000181B2;"2018/6/19";"2016/10/13";"""Eungjoo Kim""";"""Hyundai Motor Co""";B60R22/46||B60R22/1952||B60R22/4628||B60R22/1955||B60R2021/01279||B60R2022/4642||B60R2022/4647||;"""Disclosed are a pretensioner and a safety belt assembly including the same. The pretensioner includes an internal cylinder movably installed within an external cylinder with an outer surface thereof in contact with an inner surface of the external cylinder, a piston installed in the internal cylinder, a retracting member configured with one side connected to the piston and the other side configured to extend from the external cylinder and connected to a belt fastening a passenger, a gas generator configured to supply gas to the inside of the external cylinder to move the piston in a direction of pulling the retracting member, and a one-way restriction device configured to allow the piston to move with respect to the internal cylinder when the piston moves in the direction of pulling the retracting member and to restrict the piston to be within the internal cylinder when the piston moves in reverse direction.""";"11";"16";"2";KR - IP Right Grant Active Pending, US - IP Right Grant Active Pending, DE - IP Right Grant Active Pending, CN - Active
US10000182B2;"""Buckle device""";US20170225645A1;"2017/8/10";"""US15/426,707""";"2017/2/7";US10000182B2;"2018/6/19";"2016/2/10";"""Koji Hayashi,Makoto Matsuzaki""";"""Tokai Rika Co Ltd""";B60R22/20||A44B11/2503||B60R22/1952||B60R22/26||B60R22/48||B60R2022/1806||B60R2022/1812||B60R2022/1831||B60R2022/1957||;"""In a buckle device, displacement of a buckle cover in a width direction with respect to a buckle guide is restricted by restricting grooves of the buckle cover and restricting ribs of the buckle guide that enter the restricting grooves. This enables a space to be secured between a wall portion on one side in a width direction of the buckle cover and a wall portion on one side in a width direction of the buckle guide.""";"13";"13";"2";JP - Active, CN - Active Active Pending, US - Active Active Pending, DE - Active Active Pending
US10000184B2;"""Webbing take""";US20160347277A1;"2016/12/1";"""US15/162,162""";"2016/5/23";US10000184B2;"2018/6/19";"2015/5/27";"""Yuya NAGATA,Takahiro Osaki,Takuhiro Saito,Tomonari UMAKOSHI""";"""Tokai Rika Co Ltd""";B60R22/44||B60R22/34||B60R22/46||B60R2022/4666||B60R2022/468||;"""A webbing take-up device includes a spool that takes up webbing worn by an occupant, an input gear that is rotated by rotation force being transmitted, a spool gear that rotates the spool by being rotated, and a second clutch that is provided between the input gear and the spool gear, and that transmits rotation force of the input gear to the spool gear by being rotated by the input gear. The webbing take-up device further includes a sub clutch spring that is provided between the input gear and the second clutch, that transmits rotation force of the input gear to the second clutch when the input gear is rotated toward one side, and that shuts off transmission of rotation force of the input gear to the second clutch when the input gear is rotated toward another side.""";"8";"10";"5";JP - Active, CN - Active Active Active, US - Active Active Active, EP - Active Active Active
US10000187B2;"""Vehicle communication system, in""";US20170136992A1;"2017/5/18";"""US15/320,809""";"2015/6/22";"";"2018/6/19";"2014/6/26";"""Yoshihiro Hamada,Hiroyuki Kurata""";"""Sumitomo Wiring Systems Ltd, AutoNetworks Technologies Ltd, Sumitomo Electric Industries Ltd""";B60R25/245||B60R25/24||G01S5/0278||H04B17/318||G01S5/02||;"""In the vehicle communication system provided with the in-vehicle device for transmitting and receiving signals using the plurality of antennas, which are provided in different positions in the vehicle, and the portable device for transmitting and receiving the signals, the in-vehicle device: stores statistical values derived by measuring in advance received signal strengths of signals transmitted from a part of the plurality of antennas in association with information identifying antennas of transmission sources, for each of the inside and the outside of a vehicle cabin of measured positions; detects an antenna having a failure; calculates, for inside and outside the vehicle cabin, the statistical distance between the measured received signal strength and the statistical values corresponding to the selected antennas; makes a comparison between the results of the calculation; and determines whether the portable device is inside or outside the vehicle cabin.""";"7";"18";"21";JP - Active, US - Active Active Pending Application Filing, CN - Active Active Pending Application Filing, DE - Active Active Pending Application Filing, WO - Active Active Pending Application Filing
US1000019A;"""Type""";US1000019A;"";"""US56083810A""";"1910/5/12";US1000019A;"1911/8/8";"1910/5/12";"""Louis W Labofish""";"""UNION TYPEWRITER CO""";B41J11/22||;"";"";"0";"0";US - Expired - Lifetime
US10000232B2;"""Steering assist device""";US20160347355A1;"2016/12/1";"""US15/158,066""";"2016/5/18";US10000232B2;"2018/6/19";"2015/5/26";"""Toshiaki Oya""";"""JTEKT Corp""";B60W30/12||B62D5/046||B62D1/286||B62D15/025||B62D5/04||;"""In a steering assist device, a main lane keep assist current value setting unit sets a main lane keep assist current value that generates main lane keep assist torque according to a lateral deviation and a lateral deviation change rate. A sub lane keep assist current value setting unit sets a sub lane keep assist current value that generates sub lane keep assist torque according to curvature ct of a target travel line.""";"8";"18";"0";JP - Active, US - Active Active Active, CN - Active Active Active, EP - Active Active Active
US1000023A;"""Nailing""";US1000023A;"";"""US50763609A""";"1909/7/14";US1000023A;"1911/8/8";"1909/7/14";"""Job Lee""";"""Job Lee""";B25C1/001||;"";"";"0";"2";US - Expired - Lifetime
US1000025A;"""Cigar""";US1000025A;"";"""US59816310A""";"1910/12/19";US1000025A;"1911/8/8";"1910/12/19";"""Charles L Enfant""";"""Charles L Enfant""";B65D85/1009||;"";"";"0";"0";US - Expired - Lifetime
US10000261B2;"""System, method, and apparatus for stabilizing a boat""";US20170080998A1;"2017/3/23";"""US15/266,221""";"2016/9/15";US10000261B2;"2018/6/19";"2015/9/23";"""Jeffrey Dominic Lizzio""";"""Jeffrey Dominic Lizzio""";B63B43/04||B63B1/041||B63B2039/067||B63B2043/042||B63B39/062||;"""A stabilizer that extends from the hull of a watercraft below the waterline when needed is disclosed. The stabilizer produces added drag on the watercraft's counteracting a tendency to change bearing. Stabilization chambers of the stabilizer hold semi contained water to produce an extended drag effect by adding lateral weight due to the water that is semi contained within the chamber during use. The restricted flow of water into and out of the stabilizer and the outer dimensions of the stabilizer provides lateral drag to mute any ambient drift.""";"17";"5";"1";US - Active
US10000262B2;"""Data""";US20160229500A1;"2016/8/11";"""US15/025,319""";"2013/9/27";US10000262B2;"2018/6/19";"2013/9/27";"""Hideyuki Ando,Shusaku Ueno""";"""Nippon Yusen KK""";B63B49/00||B63B79/40||B63B79/15||B63H25/04||G01C21/203||G06F3/14||G06T11/206||B63B79/20||B63B79/30||B63H2025/045||B63J2099/008||;"""A terminal device stores ship characteristic data that indicates a relationship between rotation speed and ship speed, and rotation speed and fuel consumption when a ship is navigated under various navigation conditions. If a user inputs data that indicates draft state and wind and wave state on a performance display screen displayed on the terminal device, the terminal device generates relationship data that indicates a relationship between rotation speed and ship speed, and rotation speed and fuel consumption when a ship is navigated under wind and wave states corresponding to the input data and each of a plurality of Beaufort states that are set in the terminal device in advance on the basis of the ship characteristic data. The terminal device displays a graph that displays the relationship between rotation speed, ship speed and fuel consumption for each of a plurality of navigation conditions using the relationship data.""";"15";"6";"6";SG - Active Application Filing Active, US - Active Application Filing Active, WO - Active Application Filing Active, JP - Active Application Filing Active
US10000280B2;"""Device for mounting an aircraft tail wheel""";US20160167771A1;"2016/6/16";"""US14/904,931""";"2014/7/17";"";"2018/6/19";"2013/7/25";"""R��mi Beringer""";"""BERINGER AERO""";B64C25/50||B60B33/0055||B60B33/0057||B60B33/0065||B60B33/025||B60B33/026||B60B2900/351||B60B33/0068||B60B33/0073||;"""A device for mounting an aircraft tail wheel includes a support plate having, on the one hand, an articulation shaft with an arm and, on the other hand, an articulation shaft with a fork receiving the freely rotating tail wheel, while the articulation shaft of the plate is positioned near a rotation shaft of the tail wheel.""";"5";"9";"1";FR - Active, WO - Application Filing Active Active, US - Application Filing Active Active, EP - Application Filing Active Active
US10000288B2;"""Laterally and recline adjustable aircraft passenger seat""";US20160288910A1;"2016/10/6";"""US15/059,847""";"2016/3/3";US10000288B2;"2018/6/19";"2015/3/5";"""Daniel Udriste,Javier Valdes De La Garza,Catalin Bunea""";"""BE Aerospace Inc""";B64D11/064||B60N2/062||B64D11/0015||B64D11/0602||B64D11/0606||B64D2011/0046||;"""A laterally and recline adjustable aircraft passenger seat assembly including a seat, spaced forward and rear rails, a seat recline motion assembly attached to the seat and slidable along the length of the spaced forward and rear rails and including a first actuator dedicated for seat recline motion, and a lateral seat motion assembly disposed between the spaced forward and rear rails and including a second linear actuator dedicated for driving lateral motion of the seat recline motion assembly.""";"14";"15";"8";US - Active Application Filing, WO - Active Application Filing
US1000028A;"""Lawn""";US1000028A;"";"""US61486911A""";"1911/3/16";US1000028A;"1911/8/8";"1911/3/16";"""John C Lindsey""";"""John C Lindsey""";A01D2101/00||Y10S56/13||;"";"";"0";"6";US - Expired - Lifetime
US100002A;"""Improvement in printing""";US100002A;"";"";"";US100002A;-10904;"";"";"";B41F1/40||Y10S101/35||;"";"";"0";"0";US - Expired - Lifetime
US1000031A;"""Connector.""";US1000031A;"";"""US51749209A""";"1909/9/13";US1000031A;"1911/8/8";"1909/9/13";"""Emil Mattman""";"""Allis Chalmers Corp""";H01R4/4845||Y10T403/345||Y10T403/7016||;"";"";"0";"4";US - Expired - Lifetime
US1000032A;"""Pneumatic stacker.""";US1000032A;"";"""US59686710A""";"1910/12/12";US1000032A;"1911/8/8";"1910/12/12";"""William Russell Miller""";"""INDIANA Manufacturing CO""";B65G53/14||;"";"";"0";"0";US - Expired - Lifetime
US10000350B2;"""Conveyor and recording apparatus including same""";US20150274460A1;"2015/10/1";"""US14/670,094""";"2015/3/26";US10000350B2;"2018/6/19";"2014/3/31";"""Kenichi Hirata""";"""Brother Industries Ltd""";B65H5/062||B41J11/0055||B41J13/0045||B65H9/04||;"""A conveyor comprises a first conveyor roller unit and a side position adjustment mechanism. The side position adjustment mechanism includes a guide member and a position adjustment roller unit. The position adjustment roller unit includes a first position adjustment roller and a second position adjustment roller which holds a sheet-shaped medium with the first position adjustment roller. An angle between a rotational axial line of the first position adjustment roller and a part of a guide face of the guide member which part is on the downstream of an intersection between the rotational axial line of the first position adjustment roller and the guide face is an acute angle. The conveyor further comprises a first support member which supports a first driven roller of the first conveyor roller unit to allow a rotational axial line of the first driven roller to be swingable.""";"13";"28";"3";JP - Active, US - Active
US10000354B2;"""Conveyance apparatus and image recording apparatus""";US20170113894A1;"2017/4/27";"""US15/331,011""";"2016/10/21";US10000354B2;"2018/6/19";"2015/10/23";"""Peng Zou,Kenji Samoto,Yoshiyuki WASHINO""";"""Brother Industries Ltd""";B65H31/22||B65H31/00||B65H1/266||B65H3/0684||B65H31/02||B65H31/20||G03G15/602||G03G15/6529||B65H2301/4212||B65H2402/46||B65H2405/11164||B65H2405/3321||B65H2405/3322||B65H2801/03||B65H2801/06||;"""There is provided a conveyance apparatus including a main body, a feed tray, and a discharge tray. The discharge tray includes a first projecting portion, and the main body includes a supporting portion, first and second contacting portions. With the installed discharge tray rotating by a first amount or more about a fulcrum in a direction for such a part of the discharge tray as positioned on one side in a second direction from the fulcrum to move away from the first contacting portion, the first projecting portion is positioned below the second contacting portion. The part of the installed discharge tray as positioned on the one side in the second direction from the fulcrum is lighter in weight than the part of the installed discharge tray as positioned on the other side in the second direction. The conveyance apparatus includes a regulating portion.""";"11";"8";"1";JP - Active, CN - Active Active, US - Active Active
US10000359B2;"""Collapsible cord spool""";US20160368731A1;"2016/12/22";"""US15/188,357""";"2016/6/21";US10000359B2;"2018/6/19";"2015/6/22";"""Tuan Quoc Dam""";"""Tuan Quoc Dam""";B65H75/22||B65H75/4465||B65H75/4473||H01R13/72||B65H2701/34||H02G11/02||;"""A collapsible cord spool 100 includes a base 102, defining one or more pivots 104, 106, and mounted to a power converter block 108 having a cord 110. The collapsible cord spool 100 further defines first and second cord cleats 112, 114. The first and second cord cleats 112, 114 include opposed projections 116, 118. The first and second cord cleats 112, 114 are movable about one or more pivots 104, 106 and may be stowed or deployed. In the deployed position, the first and second cord cleats 112, 114 define a cord wrapping region 302 to receive windings of the cord 110.""";"13";"4";"0";US - Active
US1000035A;"""Airship.""";US1000035A;"";"""US61280311A""";"1911/3/7";US1000035A;"1911/8/8";"1911/3/7";"""Oscar P Ostergren""";"""HARRY REIS""";B64C39/08||;"";"";"0";"0";US - Expired - Lifetime
US10000365B2;"""Pulley for high""";US20160145082A1;"2016/5/26";"""US14/786,151""";"2014/3/26";US10000365B2;"2018/6/19";"2013/4/22";"""Massimo Ippolito""";"""Kite Gen Research SRL""";B66D1/7415||F16H55/50||B66D1/30||B66D1/74||;"""An improved pulley for winch is described, in contact with at least one section of rope included between an inlet section, connected to a working load, and an outlet section, with minimum or null tension, such pulley comprising a kinematic chain composed of peripheral supports.""";"10";"16";"0";IT - , UA - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , RU - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , ES - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , EP - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , BR - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , JP - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , SG - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , CN - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , CA - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , AU - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , US - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , WO - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , KR - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , MX - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , TN - Active Active Search and Examination Active  Active Active Active Active Application Filing IP Right Grant IP Right Grant , PH - , CL - , ZA - , MA - 
US1000036A;"""Tool""";US1000036A;"";"""US60143611A""";"1911/1/7";US1000036A;"1911/8/8";"1911/1/7";"""William Prellwitz""";"""Ingersoll Rand Co""";B25D17/086||Y10T279/17059||Y10T279/17111||Y10T279/17769||Y10T403/50||;"";"";"0";"0";US - Expired - Lifetime
US1000038A;"""Sectional boiler.""";US1000038A;"";"""US60736911A""";"1911/2/8";US1000038A;"1911/8/8";"1911/2/8";"""Anders Borch Reck""";"""Anders Borch Reck""";F23B10/00||;"";"";"0";"2";US - Expired - Lifetime
US10000397B2;"""Multiple attached growth reactor system""";US20180099888A1;"2018/4/12";"""US15/683,946""";"2017/8/23";US10000397B2;"2018/6/19";"2016/8/24";"""Martin Hildebrand,Merle Kroeker""";"""Nexom""";C02F9/00||C02F3/006||C02F3/06||C02F3/085||C02F3/1247||C02F3/303||C02F2101/16||C02F2203/006||C02F2209/40||C02F2209/44||Y02A20/208||Y02W10/10||;"""Described herein are attached growth reactor systems which increase nitrifying bacteria biomass through a variety of means during warm weather. As a consequence, the attached growth reactor system contains sufficient nitrifying bacteria biomass to remove ammonia from wastewater in cold to moderate climates. In one example, there are two attached growth reactors into which wastewater is distributed discontinuously. Specifically, wastewater is transferred to the first attached growth reactor for a first period of time and then is transferred to the second attached growth reactor for a second period of time during warm weather which effectively doubles the nitrifying bacteria biomass in the system. During cold weather, approximately half of the wastewater is applied to each reactor simultaneously.""";"25";"6";"0";CA - Pending Active, US - Pending
US1000039A;"""Electrically""";US1000039A;"";"""US50104709A""";"1909/6/9";US1000039A;"1911/8/8";"1909/6/9";"""Samuel Arthur Redding""";"""Samuel Arthur Redding""";A63B71/06||Y10S273/26||;"";"";"0";"4";US - Expired - Lifetime
US1000040A;"""Monocinnamic ester of glycol.""";US1000040A;"";"""US62460911A""";"1911/5/2";US1000040A;"1911/8/8";"1911/5/2";"""Paul Schickler,Hans Hahl""";"""Bayer AG""";C07C67/343||;"";"";"0";"0";US - Expired - Lifetime
US1000042A;"""Pencil""";US1000042A;"";"""US61568411A""";"1911/3/20";US1000042A;"1911/8/8";"1911/3/20";"""Julius Schwartz""";"""Julius Schwartz""";A41D27/20||;"";"";"0";"1";US - Expired - Lifetime
